expense_id,employee_id,department,seniority,submission_date,expense_date,category,amount,amount_local,currency,vendor_id,vendor_name,vendor_country,vendor_risk_score,payment_method,requires_approval,high_risk_category,has_receipt,receipt_quality,ocr_confidence,manual_review_required,num_attendees,project_code,cost_center,is_violation,violation_type,approval_status,approval_date,notes,employee_risk_score,previous_violations
7937467a-0699-4688-a0a2-9b6267578e61,EMP0099,Engineering,Mid-level,2024-07-10,2024-06-18,Client Meals,145.18,145.18,USD,300e4500-93f3-4008-8e09-623cb7c31288,Moore-Burns,Austria,0.87530539668813,Digital Wallet,False,True,True,0.9058746294694912,0.8340302176443649,False,5.0,,CC518,False,,Pending,,,0.19548921592209234,5
e70a48ad-f4a2-46fd-bb64-e692d1dbed2c,EMP0019,Marketing,Manager,2023-04-10,2023-03-25,Client Meals,711.82,79091.11,JPY,5d5d1ae8-2905-4136-aa2b-c98d38b8cb9a,"Bowman, Austin and Christian",Cayman Islands,0.5859234637770298,Corporate Card,False,True,True,0.8250456513018581,0.9340110324584793,False,6.0,,CC786,False,,Pending,,,0.13418629408751237,0
c52f8511-66d7-4c3a-b8ce-1f9bdf02141b,EMP0099,Engineering,Mid-level,2023-04-30,2023-04-19,Office Supplies,465.14,51682.33,JPY,e661f417-73d1-483d-9650-16dfcfa20746,Harper-Weber,Kuwait,0.07102856260553747,Corporate Card,False,False,True,0.8977920680291389,0.943912216593418,False,,PRJ1069,CC509,False,,Pending,,Of car certain speak take democratic ready for.,0.19548921592209234,5
2d413f5f-9512-4c1d-bb86-1fee2e228778,EMP0040,Marketing,Director,2024-05-23,2024-05-22,International Travel,3649.18,4865.57,CAD,ce84b4fd-28c3-4c1b-9ec0-9eb4b9aa818f,Williams LLC,Thailand,0.6971924975702819,Invoice,True,True,True,0.9724244939112083,0.8094437568071908,False,,,CC937,False,,Pending,,Difference improve friend seem difference adult inside. Around discover ground dark.,0.007890007948932576,3
57f688f4-dc74-4d16-b8ba-7539da77fd9d,EMP0098,Marketing,Junior,2023-07-19,2023-07-03,Team Meals,346.65,315.14,EUR,5d5d1ae8-2905-4136-aa2b-c98d38b8cb9a,"Bowman, Austin and Christian",Cayman Islands,0.5859234637770298,Corporate Card,False,False,True,0.11853578892082695,0.7899794002525125,False,6.0,PRJ6538,CC165,False,,Pending,,,0.8902253532029172,2
3fd573a8-e8b8-47ea-92e2-3ecf3c42fc6d,EMP0007,Sales,Senior,2023-06-30,2023-06-01,Software Licenses,2597.82,288647.12,JPY,e9671eef-a69d-41ab-aee0-7acbbef99055,"Tucker, Clark and Reynolds",American Samoa,0.2235184777044883,Corporate Card,True,False,True,0.3460792015390154,0.8417690795132774,False,,,CC410,True,split_transaction,Pending,,Between you create. Group young control movie unit beat great. Worker fast carry card local.,0.6675052259589896,5
2d840576-4967-4310-b0ab-bff882a427b4,EMP0033,Research,Senior,2023-04-18,2023-04-15,Hardware,4506.65,4506.65,USD,f6a7daa8-9566-4575-bd23-34c5018edb0e,"Bryant, Jones and Thompson",Netherlands,0.0016798787849491292,Digital Wallet,True,True,True,0.17640530934953658,0.8932303528973609,False,,,CC198,False,,Pending,,Foot do I debate blue people. Return person so available.,0.7184281113528554,4
06241fa7-8882-4802-82f6-76046e9d05f7,EMP0085,Marketing,Senior,2024-08-25,2024-08-10,International Travel,13159.97,10123.05,GBP,f251bbb6-d733-4ae7-80c1-7e25c69eec58,Washington Inc,France,0.24201567156208192,Cash,True,True,True,0.2068255653566532,0.7761506096351324,False,,,CC148,False,,Pending,,,0.7774665163919258,2
68ce43c0-08b8-4c0d-b695-51acb44c90fb,EMP0096,Sales,Mid-level,2024-07-15,2024-07-14,Domestic Travel,2242.61,2242.61,USD,798fab77-b508-46d8-91c4-56c12fa42de9,Snyder-Woods,Vietnam,0.5063543240084214,Corporate Card,False,False,True,0.3774282211055171,0.9312464569454114,False,,,CC472,False,,Pending,,,0.8679844806377427,5
176a874b-f67d-40fc-a6d7-f62c9aeacded,EMP0008,Marketing,Director,2024-05-16,2024-05-08,Team Meals,299.47,299.47,USD,5d5d1ae8-2905-4136-aa2b-c98d38b8cb9a,"Bowman, Austin and Christian",Cayman Islands,0.5859234637770298,Corporate Card,False,False,True,0.158241588815478,0.8399223476832788,False,8.0,,CC153,False,,Pending,,Field pretty above.,0.8357048669025946,3
