expense_id,employee_id,department,submission_date,expense_date,amount,currency,vendor,category,payment_method,has_justification,is_violation
EXP000000,EMP038,Marketing,10/2/2024,9/28/2024,87.25,USD,Tech Store,Meals,Cash,TRUE,FALSE
EXP000001,EMP041,Marketing,8/17/2024,8/3/2024,106.59,USD,Online Retailer,Meals,Personal Card,TRUE,FALSE
EXP000002,EMP005,Engineering,4/1/2024,3/9/2024,332.38,USD,Hotel Chain,Office Supplies,Personal Card,FALSE,FALSE
EXP000003,EMP026,HR,11/5/2024,10/15/2024,294.57,USD,Airlines Corp,Training,Corporate Card,TRUE,FALSE
EXP000004,EMP046,Engineering,7/24/2024,7/2/2024,330.45,USD,Training Corp,Office Supplies,Personal Card,TRUE,FALSE
EXP000005,EMP042,Marketing,5/10/2024,4/10/2024,306.09,USD,Local Restaurant,Training,Cash,TRUE,FALSE
EXP000006,EMP004,Sales,9/29/2024,9/17/2024,243.99,USD,Airlines Corp,Training,Corporate Card,TRUE,TRUE
EXP000007,EMP003,Sales,2/3/2024,1/6/2024,1234.11,USD,Office Store,Technology,Corporate Card,TRUE,FALSE
EXP000008,EMP021,Finance,11/4/2024,11/4/2024,803.96,USD,Tech Store,Technology,Personal Card,TRUE,FALSE
EXP000009,EMP026,Finance,9/25/2024,9/17/2024,135.03,USD,Local Restaurant,Office Supplies,Corporate Card,FALSE,FALSE
EXP000010,EMP031,Engineering,4/17/2024,4/11/2024,1019.3,USD,Hotel Chain,Technology,Personal Card,TRUE,FALSE
EXP000011,EMP022,Finance,9/26/2024,9/10/2024,383.85,USD,Online Retailer,Travel,Cash,TRUE,TRUE
EXP000012,EMP025,Marketing,11/26/2024,11/21/2024,107.99,USD,Training Corp,Training,Cash,TRUE,FALSE
EXP000013,EMP046,HR,7/11/2024,6/22/2024,380.77,USD,Tech Store,Office Supplies,Cash,TRUE,FALSE
EXP000014,EMP049,Finance,9/10/2024,8/16/2024,704.31,USD,Airlines Corp,Technology,Personal Card,TRUE,FALSE
EXP000015,EMP039,Finance,10/11/2024,10/3/2024,333.44,USD,Restaurant A,Office Supplies,Cash,TRUE,FALSE
EXP000016,EMP027,Marketing,12/27/2024,12/15/2024,1519.45,USD,Training Corp,Technology,Cash,TRUE,FALSE
EXP000017,EMP009,Finance,8/18/2024,7/30/2024,325.14,USD,Hotel Chain,Office Supplies,Cash,TRUE,FALSE
EXP000018,EMP018,Sales,12/28/2024,12/20/2024,3309.24,USD,Online Retailer,Travel,Corporate Card,TRUE,FALSE
