expense_id,employee_id,amount,receipt_quality,ocr_confidence,previous_violations,department,category,currency,vendor_country,payment_method,expense_date,submission_date,requires_approval,has_receipt,manual_review_required,vendor_id,vendor_name,notes,approval_status,approval_date,is_violation
1,1102,2094.49,0.23,0.7,0,HR,Supplies,INR,US,Cash,2025-01-21,2025-01-23,0,0,1,2690,VendorC,,Approved,2025-02-08,1
2,1435,2725.56,0.68,0.81,0,Finance,Supplies,INR,IN,Net Banking,2025-02-04,2025-02-09,0,1,0,2840,VendorA,Justified,Rejected,2025-02-08,1
3,1860,1780.62,0.08,0.31,0,HR,Meals,INR,IN,Cash,2025-01-25,2025-01-27,0,1,0,2881,VendorA,Justified,Rejected,2025-02-08,0
4,1270,1046.84,0.59,0.22,2,HR,Supplies,INR,IN,Cash,2025-02-03,2025-02-06,0,0,1,2543,VendorC,,Approved,2025-02-08,1
5,1106,4249.45,0.27,0.81,3,Sales,Supplies,INR,IN,UPI,2025-01-13,2025-01-21,1,0,0,2907,VendorC,,Rejected,2025-02-08,1
6,1071,1221.67,0.93,0.36,4,Finance,Supplies,INR,IN,UPI,2025-01-23,2025-01-25,1,0,0,2245,VendorB,,Rejected,2025-02-08,1
7,1700,1801.93,0.29,0.29,4,Marketing,Supplies,INR,UK,Net Banking,2025-01-19,2025-01-23,1,1,1,2110,VendorC,,Approved,2025-02-08,0
8,1020,5518.51,0.4,0.34,2,Sales,Meals,INR,IN,UPI,2025-02-05,2025-02-12,0,0,1,2297,VendorA,,Approved,2025-02-08,1
9,1614,1729.53,0.84,0.07,0,Finance,Supplies,INR,IN,Cash,2025-01-19,2025-01-23,0,0,1,2406,VendorB,,Approved,2025-02-08,1
10,1121,732.41,0.44,0.77,4,IT,Meals,INR,IN,Credit Card,2025-01-25,2025-01-31,0,0,0,2087,VendorC,Justified,Rejected,2025-02-08,1
11,1466,3242.15,0.24,0.72,3,Operations,Supplies,INR,IN,Credit Card,2025-02-03,2025-02-12,0,1,0,2722,VendorB,,Approved,2025-02-08,0
12,1214,2281.16,0.55,0.55,1,HR,Meals,INR,IN,Credit Card,2025-01-27,2025-02-01,0,1,0,2457,VendorC,Justified,Rejected,2025-02-08,0
13,1330,5201.52,0.84,0.72,3,HR,Meals,INR,IN,Credit Card,2025-01-26,2025-02-02,1,1,0,2510,VendorA,Justified,Approved,2025-02-08,1
14,1458,1113.43,0.43,0.37,0,HR,Travel,INR,IN,Net Banking,2025-01-23,2025-01-28,0,1,0,2593,VendorA,Justified,Approved,2025-02-08,1
15,1087,7542.53,0.13,0.3,3,HR,Meals,INR,IN,UPI,2025-01-12,2025-01-18,1,1,1,2398,VendorB,Justified,Rejected,2025-02-08,1
16,1372,70348.00623934458,0.38,0.86,0,IT,Meals,INR,IN,Cash,2025-01-12,2025-01-19,1,0,1,2861,VendorB,Justified,Rejected,2025-02-08,1
17,1099,7460.01,0.95,0.42,3,HR,Meals,INR,IN,Credit Card,2025-01-23,2025-01-27,1,1,0,2174,VendorB,Justified,Rejected,2025-02-08,1
18,1871,5374.99,0.07,0.2,2,Finance,Travel,INR,IN,Net Banking,2025-01-20,2025-01-27,1,0,0,2625,VendorB,Justified,Rejected,2025-02-08,0
19,1663,8620.61,0.41,0.75,3,Finance,Meals,INR,IN,Net Banking,2025-01-17,2025-01-18,0,1,1,2737,VendorC,Justified,Rejected,2025-02-08,1
20,1130,6979.69,0.65,0.34,4,Engineering,Travel,INR,IN,Cash,2025-02-04,2025-02-09,1,1,1,2937,VendorB,Justified,Rejected,2025-02-08,0
21,1661,204.46,0.08,0.21,1,IT,Meals,INR,IN,UPI,2025-01-26,2025-01-31,1,1,0,2550,VendorC,Justified,Rejected,2025-02-08,1
22,1308,4001.49,0.34,0.03,2,Engineering,Meals,INR,IN,Credit Card,2025-01-21,2025-01-27,0,0,0,2383,VendorB,,Approved,2025-02-08,1
23,1769,8524.42,0.94,0.97,3,HR,Meals,INR,UK,Credit Card,2025-01-26,2025-02-01,1,1,1,2268,VendorC,Justified,Approved,2025-02-08,1
24,1343,3524.0,0.03,0.47,0,Marketing,Meals,INR,US,Net Banking,2025-01-27,2025-01-30,1,1,0,2681,VendorC,Justified,Rejected,2025-02-08,0
25,1491,448.63,0.75,0.16,2,IT,Supplies,INR,IN,Net Banking,2025-01-20,2025-01-28,0,1,1,2627,VendorB,,Approved,2025-02-08,0
26,1413,7487.18,0.84,0.76,4,Marketing,Supplies,INR,IN,Credit Card,2025-01-22,2025-01-24,1,1,0,2150,VendorB,Justified,Approved,2025-02-08,0
27,1805,8040.18,0.28,0.89,1,IT,Supplies,INR,US,Cash,2025-01-29,2025-02-06,1,1,0,2812,VendorC,,Rejected,2025-02-08,1
28,1385,1689.88,0.21,0.53,1,Operations,Meals,INR,IN,Net Banking,2025-02-01,2025-02-09,0,0,1,2789,VendorC,Justified,Rejected,2025-02-08,0
29,1191,5419.67,0.91,0.03,3,Operations,Supplies,INR,IN,Net Banking,2025-01-18,2025-01-20,1,0,0,2187,VendorA,Justified,Approved,2025-02-08,0
30,1955,2000.36,0.76,0.37,4,Marketing,Travel,INR,US,UPI,2025-01-25,2025-01-27,0,0,1,2538,VendorC,Justified,Approved,2025-02-08,0
